code,ticker,name
3106,3106.T,Kurabo Industries Ltd.
3107,3107.T,"Daiwabo Holdings Co., Ltd."
3109,3109.T,Shikibo Ltd.
3110,3110.T,"Nitto Boseki Co., Ltd."
3116,3116.T,Toyota Boshoku Corporation
3132,3132.T,"Macnica Holdings, Inc."
3135,3135.T,"MarketEnterprise Co.,Ltd"
3139,3139.T,"Lacto Japan Co., Ltd."
3141,3141.T,"Welcia Holdings Co., Ltd."
3148,3148.T,"Create SD Holdings Co., Ltd."
3150,3150.T,"grems,Inc."
3151,3151.T,"Vital KSK Holdings, Inc."
3153,3153.T,"Yashima Denki Co., Ltd."
3154,3154.T,"Medius Holdings Co., Ltd."
3156,3156.T,Restar Corporation
3167,3167.T,TOKAI Holdings Corporation
3176,3176.T,"Sanyo Trading Co., Ltd."
3179,3179.T,"Syuppin Co., Ltd."
3180,3180.T,BEAUTY GARAGE Inc.
3182,3182.T,Oisix ra daichi Inc.
3183,3183.T,"WIN-Partners Co., Ltd."
3186,3186.T,"NEXTAGE Co., Ltd."
3191,3191.T,"Joyful Honda Co.,Ltd."
3193,3193.T,"Eternal Hospitality Group Co.,Ltd."
3196,3196.T,"HOTLAND HOLDINGS Co., Ltd."
3197,3197.T,"Skylark Holdings Co., Ltd."
3198,3198.T,"SFP Holdings Co., Ltd."
3199,3199.T,"Watahan & Co.,Ltd."
3201,3201.T,"The Japan Wool Textile Co., Ltd."
3221,3221.T,"Yossix Holdings Co.,Ltd."
3231,3231.T,"Nomura Real Estate Holdings, Inc."
3232,3232.T,"Mie Kotsu Group Holdings, Inc."
3245,3245.T,"Dear Life Co.,Ltd."
3252,3252.T,"JINUSHI Co.,Ltd."
3276,3276.T,"Japan Property Management Center Co.,Ltd."
3284,3284.T,"Hoosiers Holdings Co., Ltd."
3288,3288.T,"Open House Group Co., Ltd."
3289,3289.T,Tokyu Fudosan Holdings Corporation
3291,3291.T,"Iida Group Holdings Co., Ltd."
3302,3302.T,"Teikoku Sen-i Co., Ltd."
3315,3315.T,"Nippon Coke & Engineering Company, Limited"
3319,3319.T,Golf Digest Online Inc.
3328,3328.T,BEENOS Inc.
3333,3333.T,"Asahi Co., Ltd."
3341,3341.T,"NIHON CHOUZAI Co.,Ltd."
3349,3349.T,COSMOS Pharmaceutical Corporation
3360,3360.T,"Ship Healthcare Holdings, Inc."
3371,3371.T,Softcreate Holdings Corp.
3382,3382.T,"Seven & i Holdings Co., Ltd."
3387,3387.T,create restaurants holdings inc.
3388,3388.T,"Meiji Electric Industries Co.,Ltd."
3391,3391.T,Tsuruha Holdings Inc.
3393,3393.T,"Startia Holdings,Inc."
